IP,mount
1.1.24.66,"1.1.132.15:/dh-publish-dev/dh-marketing-engine on /dh-marketing-engine type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)"
1.1.24.67,"1.1.132.15:/dh-publish-dev/dh-marketing-engine on /dh-marketing-engine type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)"
1.1.24.73,"1.1.132.15:/abcd-nas-db-vol1 on //db-backup-sas type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.24.74,"1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_186VOL01 on /video-assets-vol1 type  (rw,addr=1.2.32.252)\n1.2.32.252:/PQRST_185VOL01 on /dh type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_186VOL03 on /video-assets-vol3 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_185_186VOL05 on /recrawl type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_186VOL04 on /video-assets-vol4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL03 on /video-assets-vol5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.10.210:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.10.210)\n1.2.32.252:/PQRST_VMVOL04 on /video-assets-vol7 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL06 on /video-assets-vol8 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL07 on /video-assets-vol9 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_185_186VOL04 on /dh1 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_185VOL02 on /dh2 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.10.210:/PQRST_VMVOL09 on /video-assets-vol10 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.96)\n1.2.10.210:/PQRST_VMVOL11 on /video-assets-vol11 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.96)\n1.2.10.210:/PQRST_VMVOL12 on /video-assets-vol12 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.96)\n1.2.10.210:/PQRST_VMVOL13 on /video-assets-vol13 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.96)\n1.2.10.210:/PQRST_VMVol15 on /video-assets-vol14 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.96)\n1.2.10.210:/PQRST_VMVol16 on /video-assets-vol15 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.96)\n1.2.32.252:/PQRST_VMVOL28 on /video-assets-vol16 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL24 on /dh3 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL29 on /video-assets-vol17 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL30 on /video-assets-vol18 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL31 on /video-assets-vol19 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL32 on /video-assets-vol20 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL33 on /video-assets-vol21 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL34 on /video-assets-vol22 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL35 on /video-assets-vol23 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL36 on /video-assets-vol24 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL17 on /video-assets-vol25 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL38 on /dh4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL39 on /video-assets-vol26 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL40 on /video-assets-vol27 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL41 on /video-assets-vol28 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL43 on /video-assets-vol29 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL44 on /dh5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL45 on /video-assets-vol30 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)\n1.2.32.252:/PQRST_VMVOL46 on /video-assets-vol31 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.104)"
1.1.24.75,"1.1.2.85://news-shared on //news-shared type  (rw,vers=3,proto=tcp,nolock,addr=1.1.2.85)"
1.1.24.78,"1.1.2.85://news-shared on //news-shared type  (rw,vers=3,proto=tcp,nolock,addr=1.1.2.85)"
1.1.24.81,"1.2.32.12:/xyz7 on /storage-1 type  (rw,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,addr=1.2.32.12)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,addr=1.2.32.12)\n1.2.32.252:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.58)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.58)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.58)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.58)"
1.1.24.84,"1.1.132.15:/abcd-nas-db-vol1/ on /abcd-nas-db-vol1 type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.1,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.33.52)"
1.1.25.10,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.10.210:/PQRST_186VOL01 on /video-assets-vol1 type  (rw,addr=1.2.10.210)\n1.2.10.210:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.10.210)\n1.2.32.252:/PQRST_185VOL01 on /dh type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.10.210:/PQRST_186VOL03 on /video-assets-vol3 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_185_186VOL05 on /recrawl type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_186VOL04 on /video-assets-vol4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVOL03 on /video-assets-vol5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVOL04 on /video-assets-vol7 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.32.252:/PQRST_VMVOL06 on /video-assets-vol8 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL07 on /video-assets-vol9 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_185_186VOL04 on /dh1 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_185VOL02 on /dh2 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.10.210:/PQRST_VMVOL09 on /video-assets-vol10 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVOL11 on /video-assets-vol11 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVOL12 on /video-assets-vol12 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVOL13 on /video-assets-vol13 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVol15 on /video-assets-vol14 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.10.210:/PQRST_VMVol16 on /video-assets-vol15 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.32.252:/PQRST_VMVOL28 on /video-assets-vol16 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL29 on /video-assets-vol17 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL30 on /video-assets-vol18 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.10.210:/PQRST_BRIC9_TEMPSTOR on /vt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.204)\n1.2.32.252:/PQRST_VMVOL31 on /video-assets-vol19 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL32 on /video-assets-vol20 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL33 on /video-assets-vol21 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL34 on /video-assets-vol22 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL35 on /video-assets-vol23 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL36 on /video-assets-vol24 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL17 on /video-assets-vol25 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL38 on /dh4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL39 on /video-assets-vol26 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL40 on /video-assets-vol27 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL41 on /video-assets-vol28 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL43 on /video-assets-vol29 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL44 on /dh5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL45 on /video-assets-vol30 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)\n1.2.32.252:/PQRST_VMVOL46 on /video-assets-vol31 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.198)"
1.1.25.103,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.104,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.11,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.10.210:/PQRST_186VOL01 on /video-assets-vol1 type  (rw,addr=1.2.10.210)\n1.2.10.210:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.10.210)\n1.2.32.252:/PQRST_185VOL01 on /dh type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.10.210:/PQRST_186VOL03 on /video-assets-vol3 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_185_186VOL05 on /recrawl type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_186VOL04 on /video-assets-vol4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVOL03 on /video-assets-vol5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVOL04 on /video-assets-vol7 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.32.252:/PQRST_VMVOL06 on /video-assets-vol8 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL07 on /video-assets-vol9 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_185_186VOL04 on /dh1 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_185VOL02 on /dh2 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.10.210:/PQRST_VMVOL09 on /video-assets-vol10 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVOL11 on /video-assets-vol11 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVOL12 on /video-assets-vol12 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVOL13 on /video-assets-vol13 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVol15 on /video-assets-vol14 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.10.210:/PQRST_VMVol16 on /video-assets-vol15 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.32.252:/PQRST_VMVOL28 on /video-assets-vol16 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL29 on /video-assets-vol17 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL30 on /video-assets-vol18 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.10.210:/PQRST_BRIC9_TEMPSTOR on /vt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.209)\n1.2.32.252:/PQRST_VMVOL31 on /video-assets-vol19 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL32 on /video-assets-vol20 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL33 on /video-assets-vol21 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL24 on /dh3 type  (rw,vers=4,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL34 on /video-assets-vol22 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL35 on /video-assets-vol23 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL36 on /video-assets-vol24 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL17 on /video-assets-vol25 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL38 on /dh4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL39 on /video-assets-vol26 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL40 on /video-assets-vol27 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL41 on /video-assets-vol28 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL43 on /video-assets-vol29 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL44 on /dh5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL45 on /video-assets-vol30 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)\n1.2.32.252:/PQRST_VMVOL46 on /video-assets-vol31 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.199)"
1.1.25.117,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.118,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.119,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.13,"1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)"
1.1.25.14,"1.1.132.15:/abcd-analytics1 on /analytics1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics2 on /analytics2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /analytics3 type  (rw,addr=1.1.132.15)"
1.1.25.142,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.143,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.144,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.25.145,"1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /storage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /analytics3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.191)"
1.1.25.16,"1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.62)"
1.1.25.17,"1.1.132.15:/abcd-analytics1 on /analystic1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics2 on /analystic2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /analystic3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.63)"
1.1.25.18,"1.1.132.15:/abcd-analytics1 on /astorage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics2 on /astorage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /astorage3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics1 on /analytics1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics2 on /analytics2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /analytics3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics1 on /analystic1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics2 on /analystic2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-analytics3 on /analystic3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,addr=1.1.132.15)\n1.2.10.210:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.87)"
1.1.25.19,"1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.65)"
2.1.8.80,"0.0.0.19:/abcd_60sec_store on /60sec_store type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.19,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=0.0.0.19)"
2.1.8.91,"0.0.0.19:/abcd_60sec_store on /60sec_store type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.19,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=0.0.0.19)"
1.1.25.2,"1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.33.53)\n1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)"
2.1.8.213,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.67,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.70,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.87,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.68,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.86,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.85,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.8.212,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
2.1.9.230,"0.0.0.24:/PQRST_VMVOL08 on /data type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=0.0.0.24,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=0.0.0.24)"
