,IP,mount
805,1.1.25.6,1.2.10.210:/PQRST_VMVol15
805,1.1.25.6,1.2.10.210:/PQRST_VMVol16
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL28
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL29
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL30
805,1.1.25.6,1.2.10.210:/PQRST_BRIC9_TEMPSTOR
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL31
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL32
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL33
805,1.1.25.6,1.2.32.252:/PQRST_VMVOL24
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL34
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL35
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL36
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL17
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL38
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL39
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL40
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL41
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL43
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL44
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL45
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL46
806,1.1.25.60,1.2.32.12:/xyz7
806,1.1.25.60,1.2.32.12:/xyz10
806,1.1.25.60,1.2.32.12:/xyz6
806,1.1.25.60,1.1.132.15:/abcd_-original
806,1.1.25.60,1.1.132.15:/abcd_storage1
806,1.1.25.60,1.2.32.13:/xyz11
806,1.1.25.60,1.2.10.210:/PQRST_VMVol18
806,1.1.25.60,1.2.10.210:/PQRST_VMVol19/storage-2
806,1.1.25.60,1.2.10.210:/PQRST_VMVol19/storage-4
806,1.1.25.60,1.2.32.252:/PQRST_VMVol18
806,1.1.25.60,1.2.32.252:/PQRST_VMVOL21/storage-netapp5
807,1.1.25.61,1.2.32.12:/xyz7
807,1.1.25.61,1.2.32.12:/xyz10
807,1.1.25.61,1.2.32.12:/xyz6
807,1.1.25.61,1.1.132.15:/abcd_-original
807,1.1.25.61,1.2.32.13:/xyz11
807,1.1.25.61,1.2.10.210:/PQRST_VMVol19/storage-2
807,1.1.25.61,1.2.10.210:/PQRST_VMVol19/storage-4
807,1.1.25.61,1.2.10.210:/PQRST_VMVOL21/storage-1
807,1.1.25.61,1.2.32.252:/PQRST_VMVol18
807,1.1.25.61,1.2.32.252:/PQRST_VMVOL21/storage-netapp5
808,1.1.25.62,1.1.132.15:/abcd-1
809,1.1.25.63,1.1.132.15:/abcd-
810,1.1.25.67,1.1.132.15:/abcd_misc1/vt_wap
810,1.1.25.67,1.1.132.15:/abcd-vh-dev/dh
811,1.1.25.7,1.1.132.15:/abcd-vt-logs
811,1.1.25.7,1.2.10.210:/PQRST_186VOL01
811,1.1.25.7,1.2.10.210:/PQRST_BRIC9_VOL01
811,1.1.25.7,1.2.32.252:/PQRST_185VOL01
811,1.1.25.7,1.2.10.210:/PQRST_186VOL03
811,1.1.25.7,1.2.10.210:/PQRST_185_186VOL05
811,1.1.25.7,1.2.10.210:/PQRST_186VOL04
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL03
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL04
811,1.1.25.7,1.2.32.252:/PQRST_VMVOL06
811,1.1.25.7,1.2.32.252:/PQRST_VMVOL07
811,1.1.25.7,1.2.32.252:/PQRST_185_186VOL04
811,1.1.25.7,1.2.32.252:/PQRST_185VOL02
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL09
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL11
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL12
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL13
811,1.1.25.7,1.2.10.210:/PQRST_VMVol15
811,1.1.25.7,1.2.10.210:/PQRST_VMVol16
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL28
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL29
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL30
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL31
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL32
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL33
811,1.1.25.7,1.2.32.252:/PQRST_VMVOL24
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL34
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL35
811,1.1.25.7,1.2.10.210:/PQRST_VMVOL36
